#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
1,2.60
1,2.61
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
2,2.60
3,2.60
1,2.60
1,2.60
1,2.60
2,2.60
3,2.60
2,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
2,2.60
5,2.60
5,2.60
5,2.60
5,2.60
2,2.60
2,2.60
2,2.60
1,2.60
1,2.60
1,2.60
1,2.60
2,2.60
2,2.60
2,2.60
3,2.60
2,2.60
3,2.60
3,2.60
2,2.60
1,2.60
1,2.60
1,2.60
2,2.60
2,2.60
3,2.60
3,2.60
3,2.60
3,2.60
2,2.60
3,2.60
2,2.60
2,2.60
3,2.60
4,2.60
4,2.60
4,2.60
4,2.60
5,2.60
5,2.60
5,2.60
5,2.60
5,2.60
5,2.60
3,2.60
3,2.60
5,2.60
5,2.60
3,2.60
2,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
5,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
3,2.60
3,2.60
3,2.60
5,2.60
3,2.60
3,2.60
3,2.60
3,2.60
3,2.60
3,2.60
2,2.60
2,2.60
2,2.60
2,2.60
4,2.61
3,2.61
2,2.61
3,2.62
4,2.63
4,2.77
3,2.99
3,3.06
3,3.07
3,3.10
3,3.13
2,3.17
2,3.17
2,3.17
2,3.17
2,3.17
2,3.17
2,3.20
3,3.17
3,3.20
3,3.20
3,3.20
4,3.20
4,3.20
1,3.20
1,3.21
1,3.20
2,3.21
2,3.21
1,3.24
1,3.24
2,3.24
2,3.21
2,3.21
1,3.18
1,3.18
4,3.18
4,3.21
1,3.21
1,3.21
1,3.20
1,3.20
1,3.20
1,3.17
2,3.17
2,3.17
4,3.12
4,3.15
2,3.15
1,3.17
1,3.15
1,3.15
5,3.12
5,3.15
5,3.15
5,3.15
5,3.17
5,3.17
4,3.17
3,3.15
3,3.17
3,3.18
3,3.18
2,3.19
2,3.19
5,3.19
5,3.19
5,3.20
3,3.19
3,3.20
7,3.19
3,3.20
3,3.20
3,3.20
3,3.20
6,3.21
6,3.20
2,3.21
2,3.21
2,3.20
4,3.20
2,3.20
1,3.20
1,3.20
1,3.15
1,3.15
1,3.15
1,3.15
1,3.20
1,3.20
1,3.15
1,3.17
1,3.17
1,3.17
1,3.20
4,3.17
4,3.23
4,3.17
1,3.17
4,3.23
4,3.23
1,3.21
1,3.21
1,3.20
1,3.20
2,3.21
2,3.23
2,3.21
4,3.20
4,3.19
4,3.19
5,3.17
4,3.17
4,3.19
2,3.19
2,3.19
2,3.20
3,3.20
3,3.20
3,3.20
3,3.20
3,3.20
3,3.22
3,3.22
3,3.22
4,3.24
3,3.24
4,3.25
4,3.25
3,3.25
4,3.26
5,3.26
4,3.26
4,3.26
4,3.26
4,3.26
4,3.26
1,3.26
1,3.24
1,3.26
1,3.24
1,3.24
1,3.24
1,3.22
2,3.21
2,3.18
2,3.18
2,3.17
3,3.14
5,3.14
4,3.15
4,3.15
4,3.14
5,3.15
5,3.15
4,3.14
4,3.14
4,3.15
4,3.15
3,3.15
2,3.20
2,3.15
3,3.17
3,3.20
3,3.20
3,3.22
3,3.22
3,3.22
2,3.22
2,3.22
2,3.22
2,3.22
2,3.22
1,3.22
1,3.22
2,3.22
1,3.22
2,3.22
1,3.21
2,3.22
2,3.21
2,3.20
2,3.20
4,3.20
4,3.21
6,3.21
6,3.21
7,3.21
6,3.21
5,3.21
3,3.21
3,3.20
3,3.21
3,3.21
3,3.21
3,3.21
5,3.25
6,3.26
6,3.26
6,3.26
6,3.26
6,3.26
6,3.29
6,3.29
4,3.29
4,3.29
6,3.29
4,3.29
3,3.25
3,3.23
3,3.23
3,3.22
4,3.21
4,3.21
2,3.21
2,3.20
1,3.21
1,3.21
1,3.21
1,3.18
1,3.18
1,3.17
3,3.18
6,3.18
5,3.17
6,3.18
5,3.17
3,3.17
5,3.17
7,3.18
5,3.25
3,3.18
3,3.18
5,3.17
5,3.17
4,3.17
3,3.24
4,3.19
5,3.19
9,3.19
7,3.17
7,3.17
7,3.18
9,3.19
7,3.18
6,3.18
5,3.18
5,3.18
5,3.19
4,3.19
2,3.19
1,3.19
2,3.20
2,3.20
2,3.22
5,3.22
5,3.22
5,3.23
6,3.23
5,3.23
5,3.24
5,3.25
4,3.25
2,3.25
2,3.26
2,3.27
2,3.27
4,3.27
2,3.27
4,3.27
4,3.27
5,3.27
5,3.28
2,3.28
2,3.29
2,3.29
2,3.29
4,3.29
4,3.28
4,3.27
4,3.26
4,3.26
6,3.24
4,3.24
6,3.26
4,3.24
6,3.24
6,3.24
2,3.26
2,3.26
6,3.23
3,3.22
3,3.22
3,3.22
3,3.22
3,3.23
3,3.26
3,3.26
3,3.23
3,3.23
2,3.21
2,3.26
5,3.21
6,3.20
5,3.20
5,3.21
5,3.23
5,3.26
4,3.25
4,3.26
4,3.25
4,3.24
4,3.25
4,3.25
4,3.25
4,3.27
4,3.26
4,3.26
6,3.26
6,3.26
3,3.28
5,3.28
5,3.26
6,3.28
5,3.26
5,3.26
5,3.26
5,3.26
5,3.29
4,3.26
4,3.26
4,3.29
4,3.30
4,3.30
4,3.29
4,3.28
4,3.28
4,3.28
4,3.25
4,3.25
4,3.25
1,3.28
1,3.28
1,3.28
3,3.28
3,3.25
3,3.25
3,3.23
3,3.23
3,3.22
3,3.22
3,3.22
3,3.22
3,3.22
3,3.19
2,3.21
2,3.21
2,3.21
2,3.21
2,3.21
2,3.21
2,3.23
2,3.23
3,3.25
2,3.25
2,3.25
3,3.25
1,3.25
3,3.25
3,3.25
3,3.25
4,3.25
4,3.25
5,3.25
5,3.26
4,3.26
2,3.25
2,3.25
2,3.25
2,3.25
2,3.26
2,3.27
3,3.27
3,3.31
3,3.31
3,3.31
3,3.31
3,3.30
3,3.30
3,3.27
4,3.30
4,3.30
4,3.30
6,3.31
7,3.30
7,3.30
1,3.30
1,3.26
1,3.26
5,3.26
1,3.26
1,3.27
3,3.27
4,3.27
4,3.27
4,3.27
4,3.29
4,3.29
5,3.29
5,3.29
5,3.29
5,3.29
7,3.29
7,3.29
4,3.29
4,3.29
7,3.29
7,3.29
4,3.26
4,3.29
4,3.26
5,3.26
2,3.26
2,3.26
4,3.26
4,3.30
3,3.30
3,3.31
3,3.31
3,3.31
3,3.32
3,3.32
1,3.31
3,3.31
3,3.31
1,3.31
1,3.31
1,3.31
1,3.31
1,3.31
1,3.30
1,3.30
1,3.30
2,3.26
5,3.26
5,3.26
3,3.23
3,3.23
3,3.23
3,3.23
3,3.26
3,3.26
3,3.23
2,3.26
4,3.26
4,3.26
4,3.26
2,3.26
2,3.23
2,3.23
4,3.20
1,3.23
1,3.23
2,3.23
2,3.23
3,3.23
3,3.23
3,3.25
4,3.25
4,3.26
4,3.25
4,3.26
3,3.26
3,3.31
3,3.31
3,3.31
4,3.31
5,3.26
5,3.26
5,3.26
6,3.26
6,3.26
5,3.26
5,3.27
4,3.26
5,3.27
5,3.26
4,3.26
3,3.26
3,3.26
3,3.26
3,3.26
3,3.26
2,3.26
3,3.26
3,3.26
2,3.26
1,3.25
2,3.25
2,3.25
2,3.24
2,3.24
5,3.24
5,3.23
5,3.22
4,3.23
4,3.22
4,3.21
4,3.21
2,3.21
2,3.21
4,3.21
4,3.22
6,3.22
6,3.18
5,3.18
5,3.18
5,3.18
5,3.17
4,3.18
3,3.18
2,3.18
1,3.18
1,3.18
1,3.18
1,3.18
1,3.18
1,3.18
2,3.18
3,3.18
3,3.21
3,3.21
4,3.21
4,3.24
4,3.24
5,3.24
4,3.24
5,3.24
5,3.25
3,3.25
3,3.26
2,3.26
1,3.26
2,3.26
2,3.26
1,3.26
2,3.27
2,3.30
4,3.30
5,3.27
4,3.30
4,3.30
5,3.30
5,3.27
5,3.27
5,3.27
3,3.30
5,3.27
6,3.27
3,3.27
3,3.24
3,3.24
3,3.24
4,3.22
4,3.22
4,3.22
4,3.22
4,3.20
2,3.22
4,3.22
3,3.22
3,3.20
2,3.22
1,3.22
3,3.25
3,3.25
3,3.24
3,3.24
3,3.25
3,3.25
4,3.25
3,3.25
4,3.25
4,3.25
4,3.25
4,3.25
4,3.25
4,3.24
4,3.24
4,3.24
4,3.24
3,3.24
3,3.24
3,3.24
3,3.23
2,3.24
3,3.23
2,3.23
3,3.23
2,3.23
2,3.19
6,3.19
6,3.23
4,3.23
4,3.23
4,3.23
4,3.21
4,3.17
4,3.16
5,3.16
5,3.16
5,3.16
5,3.17
3,3.18
3,3.18
3,3.18
3,3.18
5,3.18
5,3.18
5,3.18
5,3.18
2,3.18
1,3.18
1,3.18
1,3.19
1,3.19
1,3.19
1,3.21
1,3.19
4,3.21
1,3.21
1,3.21
1,3.22
1,3.22
5,3.22
4,3.22
4,3.22
4,3.22
4,3.22
4,3.22
3,3.24
3,3.25
3,3.25
3,3.25
3,3.24
3,3.25
1,3.25
1,3.26
4,3.26
4,3.25
2,3.25
1,3.24
2,3.24
4,3.25
3,3.25
2,3.21
2,3.16
3,3.16
3,3.16
3,3.16
3,3.16
2,3.17
2,3.16
3,3.16
3,3.16
3,3.17
2,3.18
3,3.17
3,3.17
5,3.17
3,3.17
3,3.17
2,3.18
3,3.18
1,3.20
1,3.21
1,3.21
1,3.22
1,3.22
2,3.24
1,3.24
2,3.24
2,3.24
2,3.24
2,3.21
2,3.21
3,3.21
4,3.21
3,3.21
3,3.19
3,3.19
3,3.19
3,3.19
3,3.19
3,3.19
4,3.19
4,3.19
4,3.19
4,3.14
4,3.12
4,3.11
4,2.62
2,2.61
2,2.61
1,2.61
1,2.61
1,2.61
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.60
1,2.61
2,2.61
2,2.61
3,2.61
3,2.61
3,2.61
3,2.61
3,2.61
3,2.61
3,2.61
3,2.61
3,2.61
2,2.61
2,2.61
