#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
10,2.61
9,2.61
8,2.61
8,2.61
9,2.61
8,2.61
8,2.61
7,2.61
7,2.61
8,2.61
8,2.61
7,2.61
7,2.61
11,2.61
11,2.61
11,2.61
10,2.61
6,2.61
10,2.61
10,2.61
6,2.61
10,2.61
10,2.61
10,2.61
10,2.61
10,2.64
9,2.84
10,3.01
9,3.15
8,3.15
8,3.19
8,3.20
9,3.22
10,3.22
10,3.24
10,3.24
10,3.23
10,3.24
10,3.24
12,3.23
12,3.23
10,3.23
10,3.23
10,3.24
10,3.25
9,3.25
8,3.25
8,3.25
8,3.23
8,3.22
10,3.21
10,3.21
12,3.21
12,3.21
12,3.21
10,3.22
9,3.22
9,3.23
9,3.23
8,3.23
9,3.23
9,3.23
10,3.25
11,3.25
11,3.26
10,3.26
10,3.25
12,3.25
10,3.26
10,3.26
8,3.26
9,3.25
9,3.25
10,3.25
10,3.23
9,3.25
10,3.23
10,3.23
10,3.25
10,3.24
10,3.24
9,3.24
9,3.23
9,3.23
9,3.23
9,3.23
11,3.23
11,3.23
11,3.23
11,3.23
13,3.21
13,3.21
13,3.21
13,3.21
13,3.21
15,3.22
15,3.20
15,3.20
11,3.22
11,3.22
11,3.22
11,3.22
11,3.22
11,3.22
11,3.22
11,3.22
11,3.22
11,3.22
11,3.22
10,3.22
10,3.22
13,3.22
10,3.21
13,3.21
16,3.21
16,3.21
16,3.21
11,3.22
11,3.25
12,3.25
11,3.25
11,3.25
11,3.21
12,3.25
14,3.25
14,3.25
11,3.25
11,3.25
13,3.25
11,3.25
11,3.25
11,3.25
9,3.25
11,3.23
13,3.23
11,3.21
13,3.23
13,3.23
13,3.23
13,3.24
12,3.23
12,3.23
14,3.22
12,3.22
12,3.20
12,3.20
13,3.20
14,3.20
13,3.22
11,3.22
11,3.22
10,3.22
10,3.22
8,3.22
7,3.22
7,3.22
7,3.22
8,3.22
8,3.26
8,3.26
8,3.26
8,3.26
9,3.26
7,3.26
6,3.26
6,3.26
7,3.25
7,3.25
7,3.25
7,3.22
9,3.22
11,3.23
13,3.25
13,3.25
13,3.25
13,3.25
13,3.25
13,3.25
11,3.25
9,3.25
9,3.25
9,3.25
8,3.25
9,3.25
9,3.26
9,3.26
9,3.26
9,3.27
9,3.26
10,3.26
10,3.26
10,3.26
10,3.25
10,3.26
10,3.26
10,3.25
7,3.26
7,3.27
10,3.27
7,3.26
7,3.27
7,3.27
10,3.26
10,3.27
10,3.27
7,3.25
7,3.25
6,3.27
7,3.25
7,3.24
8,3.25
8,3.25
8,3.25
10,3.24
10,3.24
12,3.24
10,3.24
12,3.24
12,3.24
12,3.24
12,3.26
12,3.28
12,3.28
12,3.28
12,3.29
12,3.29
13,3.29
13,3.29
13,3.29
11,3.29
11,3.29
11,3.29
11,3.29
11,3.29
11,3.29
9,3.25
9,3.24
11,3.22
11,3.22
11,3.22
10,3.22
10,3.22
10,3.22
10,3.22
10,3.22
10,3.22
10,3.26
11,3.26
10,3.22
10,3.22
11,3.22
10,3.26
10,3.26
11,3.22
10,3.20
13,3.19
13,3.20
10,3.19
10,3.19
8,3.19
8,3.19
10,3.18
10,3.16
11,3.18
11,3.18
11,3.18
11,3.18
11,3.18
11,3.22
10,3.25
10,3.25
9,3.25
10,3.25
10,3.23
10,3.25
10,3.26
9,3.26
5,3.28
6,3.26
6,3.27
6,3.28
6,3.27
7,3.27
7,3.26
8,3.26
10,3.26
12,3.25
13,3.25
13,3.25
13,3.25
13,3.23
13,3.23
9,3.23
9,3.25
8,3.23
8,3.23
8,3.23
8,3.23
8,3.23
11,3.23
10,3.22
11,3.21
11,3.22
11,3.23
11,3.22
11,3.23
10,3.26
10,3.23
9,3.23
9,3.21
8,3.21
7,3.21
7,3.21
9,3.25
9,3.25
7,3.25
9,3.27
9,3.27
9,3.27
12,3.27
11,3.25
8,3.25
11,3.27
11,3.25
11,3.25
11,3.23
11,3.23
11,3.22
11,3.20
10,3.20
10,3.20
10,3.20
9,3.19
7,3.18
7,3.19
10,3.19
13,3.16
7,3.14
7,3.14
9,3.14
9,3.14
5,3.14
5,3.11
5,2.62
6,2.61
8,2.61
8,2.61
8,2.61
10,2.61
10,2.61
10,2.61
10,2.61
10,2.61
10,2.61
10,2.61
10,2.61
10,2.61
10,2.61
9,2.61
9,2.61
9,2.61
9,2.61
9,2.61
9,2.61
9,2.61
