#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,
#!,For more information visit http://aka.ms/hackingstem/,,
12,2.61,,
13,2.61,,
13,2.61,,
14,2.61,,
14,2.61,,
13,2.61,,
12,2.61,,
11,2.61,,
11,2.61,,
10,2.61,,
10,2.61,,
10,2.61,,
10,2.61,,
10,2.61,,
10,2.61,,
10,2.61,,
10,2.61,,
10,2.61,,
10,2.61,,
10,2.61,,
6,2.61,,
6,2.61,,
6,2.61,,
10,2.61,,
6,2.61,,
6,2.61,,
10,2.61,,
10,2.61,,
10,2.61,,
8,2.61,,
8,2.61,,
8,2.61,,
8,2.61,,
7,2.61,,
7,2.61,,
7,2.61,,
6,2.61,,
7,2.61,,
7,2.61,,
7,2.61,,
9,2.61,,
11,2.63,,
10,2.83,,
10,2.95,,
10,3.08,,
11,3.09,,
11,3.09,,
11,3.1,,
11,3.12,,
12,3.19,,
12,3.22,,
12,3.22,,
11,3.21,,
11,3.22,,
9,3.27,,
9,3.27,,
9,3.26,,
9,3.26,,
9,3.22,,
9,3.26,,
9,3.27,,
11,3.26,,
11,3.26,,
9,3.26,,
9,3.26,,
9,3.25,,
9,3.25,,
9,3.25,,
9,3.21,,
9,3.21,,
10,3.21,,
11,3.2,,
11,3.2,,
11,3.2,,
11,3.2,,
13,3.18,,
12,3.16,,
12,3.16,,
11,3.17,,
11,3.16,,
11,3.16,,
11,3.15,,
9,3.15,,
9,3.17,,
10,3.17,,
10,3.17,,
11,3.19,,
10,3.17,,
11,3.17,,
11,3.17,,
11,3.17,,
11,3.17,,
9,3.13,,
9,3.13,,
10,3.19,,
10,3.19,,
10,3.22,,
10,3.19,,
10,3.19,,
10,3.19,,
10,3.19,,
10,3.19,,
10,3.19,,
10,3.22,,
10,3.19,,
10,3.19,,
12,3.22,,
7,3.22,,
12,3.19,,
12,3.17,,
12,3.17,,
11,3.16,,
11,3.16,,
10,3.16,,
11,3.16,,
11,3.16,,
11,3.16,,
11,3.16,,
13,3.16,,
10,3.16,,
10,3.16,,
8,3.16,,
8,3.17,,
8,3.19,,
9,3.19,,
9,3.26,,
6,3.26,,
7,3.22,,
9,3.19,,
9,3.22,,
9,3.22,,
8,3.19,,
8,3.19,,
9,3.22,,
9,3.19,,
8,3.22,,
9,3.22,,
9,3.19,,
10,3.22,,
9,3.22,,
9,3.22,,
9,3.22,,
10,3.25,,
9,3.26,,
7,3.25,,
7,3.26,,
7,3.26,,
7,3.26,,
9,3.22,,
9,3.25,,
9,3.25,,
9,3.25,,
7,3.27,,
6,3.25,,
6,3.25,,
6,3.25,,
6,3.18,,
11,3.18,,
11,3.17,,
11,3.18,,
11,3.18,,
11,3.18,,
11,3.18,,
10,3.21,,
8,3.21,,
8,3.2,,
8,3.2,,
8,3.2,,
8,3.18,,
8,3.18,,
8,3.18,,
9,3.2,,
9,3.18,,
9,3.18,,
9,3.18,,
9,3.18,,
9,3.17,,
9,3.17,,
