#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
9,2.61
9,2.61
10,2.61
10,2.61
10,2.61
10,2.61
10,2.61
12,2.61
12,2.61
10,2.61
10,2.61
10,2.61
8,2.61
7,2.61
7,2.61
7,2.61
7,2.61
9,2.61
8,2.61
9,2.61
9,2.61
11,2.61
11,2.61
11,2.61
12,2.61
12,2.61
12,2.61
13,2.61
12,2.61
12,2.61
12,2.61
10,2.61
10,2.61
10,2.61
9,2.61
9,2.61
9,2.61
9,2.61
9,2.61
9,2.61
9,2.61
8,2.62
8,2.62
8,2.62
8,2.68
12,3.01
10,3.02
10,3.18
10,3.19
12,3.19
10,3.19
9,3.19
9,3.19
9,3.19
9,3.19
9,3.19
9,3.19
9,3.19
10,3.20
11,3.19
9,3.19
9,3.19
11,3.18
9,3.18
9,3.18
9,3.20
9,3.20
9,3.20
8,3.20
8,3.22
9,3.22
8,3.19
8,3.19
8,3.19
8,3.19
8,3.19
8,3.19
7,3.20
8,3.20
7,3.20
6,3.20
6,3.22
6,3.22
7,3.22
6,3.22
6,3.22
8,3.22
10,3.22
10,3.21
10,3.22
10,3.22
10,3.21
8,3.22
8,3.25
8,3.23
8,3.22
8,3.21
8,3.23
9,3.21
9,3.21
9,3.23
9,3.23
9,3.23
6,3.23
6,3.23
5,3.23
5,3.25
5,3.23
5,3.23
5,3.23
6,3.23
6,3.24
6,3.24
6,3.24
6,3.24
8,3.24
9,3.24
10,3.24
10,3.21
11,3.21
11,3.21
11,3.21
11,3.21
11,3.21
11,3.21
10,3.21
10,3.21
11,3.24
12,3.24
13,3.24
13,3.24
13,3.24
13,3.24
13,3.24
12,3.24
12,3.24
9,3.24
9,3.24
7,3.23
7,3.23
7,3.22
7,3.21
5,3.20
5,3.19
5,3.17
6,3.17
6,3.19
7,3.19
7,3.20
9,3.20
10,3.20
10,3.20
11,3.21
11,3.20
11,3.21
11,3.22
9,3.22
9,3.23
5,3.24
5,3.24
5,3.24
7,3.27
7,3.27
7,3.24
9,3.23
9,3.23
7,3.23
7,3.22
8,3.22
8,3.22
7,3.22
7,3.24
8,3.22
9,3.22
9,3.22
9,3.22
9,3.22
9,3.22
9,3.23
9,3.23
10,3.23
10,3.23
9,3.23
9,3.24
11,3.26
11,3.26
9,3.26
9,3.26
9,3.26
9,3.26
9,3.27
9,3.26
12,3.26
12,3.27
12,3.28
12,3.27
10,3.28
13,3.28
13,3.24
13,3.24
14,3.26
13,3.24
13,3.24
13,3.26
13,3.26
13,3.26
14,3.27
13,3.27
14,3.27
14,3.26
14,3.26
12,3.26
10,3.26
8,3.26
8,3.26
7,3.26
7,3.26
7,3.25
7,3.23
12,3.25
12,3.23
12,3.23
12,3.23
11,3.23
12,3.22
12,3.23
12,3.23
11,3.23
8,3.23
13,3.23
13,3.23
13,3.23
11,3.23
11,3.23
11,3.23
11,3.23
9,3.23
8,3.23
8,3.23
7,3.23
6,3.23
6,3.25
6,3.21
6,3.19
6,3.19
6,3.19
7,3.21
7,3.19
9,3.19
